,index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
295,309,5,60,130,-3.0,0.1,3,0.8581878435080112
365,380,8,30,120,-2.0,1.0,3,0.8581706799017174
125,133,6,20,100,-2.0,0.1,5,0.8579802266854
370,385,10,20,100,-3.0,0.5,2,0.8576793039848271
147,158,9,20,110,-3.0,1.0,4,0.8574061655424959
221,233,6,40,100,-3.0,0.5,3,0.8572303929157185
11,12,2,60,100,-3.0,1.0,5,0.8569963138566186
269,283,9,50,100,-3.0,1.0,4,0.8569531474603065
35,38,2,60,130,-3.0,0.5,5,0.8568934564569559
14,15,5,50,150,-3.0,0.1,4,0.8567391006111569
280,294,4,60,100,-3.0,1.0,4,0.85577485509523
137,147,4,30,90,-3.0,0.5,2,0.8556081759584632
