,dim 1,dim 2,dim 3,dim 4
376,-0.735313,0.3711748,0.6470075,1.9726152
377,0.82070327,-0.4560272,0.35637468,0.6718588
378,1.0974513,-0.63497835,0.33235422,0.3372168
379,1.8407995,-0.06580768,-0.7151603,0.08486022
380,0.30826312,1.2950848,-1.000916,1.3238577
381,2.246439,-0.8248541,-0.25130847,-0.8761795
382,0.2962254,-0.69809943,0.9377847,0.9959079
383,0.6189663,1.3412857,-1.1757293,1.3564092
384,0.105987206,0.03534556,0.3869188,1.4568936
385,-0.03628649,0.37407702,0.1392008,1.4394809
386,0.26848254,1.0694858,-0.710958,1.481722
387,0.89388,0.45660055,-0.5296386,0.91454375
388,0.9430097,-0.22459243,0.07484797,0.5975998
389,1.3571913,-0.8255584,0.31014508,-0.018045679
390,-0.43238163,0.90877056,-0.028481357,2.0605433
391,0.7442595,-0.7592417,0.73182994,0.802186
392,1.6397135,1.441409,-2.0161314,0.4829399
393,1.492673,-0.04472153,-0.44061536,0.45546353
394,1.2923553,-1.0605724,0.59232,-0.6015399
395,-0.10398592,0.4524408,0.15720823,1.6936922
396,0.5388105,-0.119191855,0.26393935,1.0046998
397,1.1585034,-0.16731161,-0.15066996,0.47999036
398,0.6185667,-0.09198369,0.15681624,0.87453973
399,0.7982685,2.0902174,-2.0502875,0.96608675
400,1.1022295,-0.8263763,0.4895189,0.3340153
401,-0.038825087,0.21463896,0.39183173,1.7567594
402,0.77971816,-0.1797803,0.12952092,0.8225596
403,0.38558066,-0.39926684,0.54313797,0.8518406
404,0.6291193,-1.1763867,1.1278985,0.106364
405,0.5509398,0.88577116,-0.7780689,0.9519706
406,-0.014557272,-0.67201823,1.1214464,1.1761047
407,0.6195614,0.026754282,0.0036396813,0.89365077
408,1.7773145,-0.8819584,0.16935623,-0.06696734
409,1.3112055,-0.2829665,-0.13860422,0.40414834
410,0.25596303,0.1740313,0.1293683,1.2725999
411,0.42676413,-0.5645754,0.70786506,0.9754677
412,0.5739582,-0.4699338,0.52210325,0.87701344
413,1.6619079,-0.38239098,-0.3184437,-0.10623453
414,2.1738954,-0.31345558,-0.71817064,-0.320281
415,0.09453429,-0.34964067,0.73560226,1.1585765
416,1.1604031,-0.21014617,-0.07357773,0.4110601
417,1.7004461,2.1498792,-2.701686,0.52167886
418,1.2194531,-0.1795118,-0.20035467,0.4167211
419,0.6003063,0.51772267,-0.43169582,0.71510327
420,-0.7143045,-0.14788935,1.097461,1.667974
421,-0.48617637,0.72616184,0.11549408,1.7166947
422,1.4733263,-0.24712388,-0.2766699,-0.11262117
423,0.87689793,-1.010651,0.837495,0.2903275
424,0.893702,-0.3750115,0.2606347,0.55706036
425,1.3134549,1.341411,-1.6650866,0.7142432
426,0.5130191,0.6216136,-0.4506766,1.1220437
427,0.629052,0.90337294,-0.7852488,1.2542329
428,0.4099577,0.922384,-0.6338148,1.4875621
429,-0.5714948,0.69182277,0.24900064,2.0724704
430,0.15369242,0.35397267,0.08523032,1.4839102
431,-0.21882586,-0.5764412,1.1515378,1.0475779
432,-0.2694565,-0.3548233,0.97438425,1.4411992
433,1.7415552,0.6004226,-1.2286793,0.44466227
434,-0.4307778,-0.4001289,1.1710078,1.7566768
435,1.5558896,-0.451694,-0.12353748,0.16676904
436,0.21889764,0.40560615,0.0030676108,1.5673314
437,0.84414756,-0.20999579,0.10859311,0.6848009
438,0.5443659,0.19222756,-0.10607932,1.0819615
439,1.2612023,0.50009066,-0.8510193,0.59541726
440,0.106147125,-0.54134583,0.9345059,1.2118719
441,-0.09094757,-0.43082702,0.9032058,1.2051244
442,0.5404168,-0.40133238,0.5305833,1.0071933
443,0.31164843,0.59242034,-0.2969409,1.4080491
444,-0.3738832,0.70313144,0.05596119,1.6354916
445,1.654853,-0.274893,-0.4021719,-1.0534924
446,0.8669018,-0.0910295,-0.037859492,0.57687527
447,0.39034265,-0.12298923,0.25686637,0.71691865
448,-0.056670487,-0.28022438,0.7733241,1.4095026
449,-0.32847077,0.029938452,0.66094416,1.4207467
450,0.37153333,-0.20585252,0.41668934,1.0558565
451,-0.15581244,0.5357103,-0.07169948,1.094667
452,0.23348558,0.20644212,0.103636235,1.1190403
453,2.0855854,1.1387185,-2.0076377,0.123700395
454,0.9194511,0.05143545,-0.28012335,0.15516032
455,0.26887578,-0.25523046,0.49325344,0.947191
456,-0.041588627,-0.2561434,0.7501218,1.4416268
457,0.8183101,-0.3251173,0.30038223,0.7075549
458,2.2060792,0.85693574,-1.7626665,0.24905775
459,1.7244945,1.2797973,-1.8733764,0.38851178
460,-1.047728,0.2632795,0.98318446,2.2197359
461,1.4078919,-0.6458473,0.123467825,0.00079861283
462,0.6024607,2.3295224,-1.9934132,1.3226573
