,Cluster_1,Cluster_1,Cluster_2,Cluster_2,Cluster_3,Cluster_3,Cluster_4,Cluster_4,Cluster_5,Cluster_5,all_patnos,all_patnos
65,Protein_TREM2.1,0.32141648342491047,Protein_CA3,-0.3800089163587699,Protein_ALB,-0.33111464540513413,Protein_STX2,-0.395733163392733,Protein_CCL14,0.5048175472260352,Protein_WFIKKN2,11.69320275936755
66,Protein_CTSL,0.32129107162879045,Protein_PLG,-0.379088068468195,Protein_CCL14,-0.32975212931447473,Protein_CADM1,-0.39538142253262,Protein_F9.1,0.5040000485192153,Protein_SPOCK1,11.6900986293637
67,Protein_PSMB1,0.32123837463062976,Protein_CSRP3,0.3783721876448798,Protein_TNFRSF25,-0.32913783900580995,Protein_MMP3,-0.39441967660704913,Protein_CFI,0.5025670714183654,Protein_OXT.1,11.676705
68,Protein_TMCC3.1,0.3211145239486206,Protein_EFNB3,0.3767502671848497,Protein_B4GALT1,-0.3288939286336845,Protein_SV2A,-0.3938124731535808,Protein_LRFN2,-0.499932493314029,Protein_TKT,11.666256165682
69,Protein_B4GALT2,0.32066613755509543,Protein_ADAM23,0.37643189218690587,Protein_SERPINA5,-0.32863720771496574,Protein_VWC2,-0.393261515638315,Protein_CCL16,0.49682991632766527,Protein_OMD.1,11.660545476180399
70,Protein_CHST15,0.3194149912877502,Protein_NLGN2.1,0.37538040585319976,Protein_MMP19,-0.3259242728067493,Protein_PTPRR,-0.39303354141436087,Protein_IGFALS,0.49673983728972937,Protein_KERA,11.65744940399875
71,Protein_IGSF8,0.3163987574560405,Protein_HRG,-0.3753324279682948,Protein_RBP4.1,-0.32570505131060035,Protein_LRFN2,-0.3916004330006997,Protein_SCGB3A1,0.49414031788954516,Protein_NTNG1,11.64490775857495
72,Protein_LIPA,0.31630246283598495,Protein_IGFL4,-0.37296212004888973,Protein_SLAMF7,-0.3248040915381596,Protein_EPHB6.1,-0.3882664822691497,Protein_LILRA3,0.48495205499903493,Protein_APLP2.1,11.643251907849049
73,Protein_EMC4,0.31607925873972986,Protein_SEMA3E,0.37250972196358045,Protein_HPX,-0.32272517632694964,Protein_FSTL4,-0.38756462606165076,Protein_DPEP2,0.4842720134211542,Protein_CHGA,11.637769231912
74,Protein_NLGN4X,0.31589962267120075,Protein_ITIH2,-0.3715564373522655,Protein_APOM.1,-0.3221619904443491,Protein_NLGN4X,-0.38723338416915,Protein_GUCY2C,0.484130725368705,Protein_UBB.1,11.619686900277351
75,Protein_CPNE1.1,0.3152588272963195,Protein_LRRC4C,0.37060629353804053,Protein_KNG1,-0.3198702551471948,Protein_CBLN1,-0.38681583412360965,Protein_APOH,0.4826275343592492,Protein_SEMA3E.1,11.6080649246755
76,Protein_CRYZL1,0.3139361411650259,Protein_EPHA10,0.3705863937688747,Protein_CAP1,-0.31909362099752403,Protein_GGT2,-0.38650143806503534,Protein_MB,0.47958224481484546,Protein_EDIL3,11.6065532812665
77,Protein_QSOX2,0.31226839544273854,Protein_NPTN,0.37042608538818556,Protein_FABP1,-0.3182572613287844,Protein_EFCAB14.1,-0.3841436529428699,Protein_FABP1,0.4790970487294053,Protein_EFNB2,11.6062738902406
78,Protein_PPP3CA,0.3117734012393747,Protein_SLITRK1,0.3700101629808197,Protein_F9,-0.31767951170053443,Protein_SLITRK4,-0.38363549373058525,Protein_EVI2B,0.4767447581295601,Protein_SERPINF1.1,11.60615506643445
79,Protein_XXYLT1,0.31138943508051975,Protein_PPBP.2,-0.36832945196460454,Protein_DPEP2,-0.31448658416865083,Protein_EPHA4,-0.3825894118159141,Protein_NMT1,0.4756513164524354,Protein_NLGN1,11.6038653625473
80,Protein_FGF19.1,0.3105149978460706,Protein_NXPH2,0.3682351942452504,Protein_REG1A,-0.3137039238772852,Protein_ICAM5.1,-0.38244504096149967,Protein_PLG.2,0.4720857993132799,Protein_ICAM5.1,11.5874683235681
81,Protein_PREP,0.3098685369925098,Protein_SERPINC1,-0.36812811110599597,Protein_CHST15,-0.3101445538322096,Protein_LDHB,-0.3817596640145702,Protein_SERPINA3.1,0.4700098945459308,Protein_SDHAF2,11.54130382958925
82,Protein_GGA1,0.3083823564416903,Protein_NTRK2,0.3668762375514696,Protein_PARVA,-0.3100770537271753,Protein_TBCA,-0.3815176998489558,Protein_OLFM1,-0.4699604600282745,Protein_NCAM1,11.51954640339755
83,Protein_MGAT2,0.30832881412551005,Protein_LBP,-0.36469721270868405,Protein_LYZ,-0.30916592220549965,Protein_NPTN,-0.38103537472228943,Protein_IL1R2,0.4698555225828005,Protein_PCSK1N,11.5019879662752
84,Protein_RPS27A,0.3083129955086905,Protein_FSTL4,0.36325612048850076,Protein_LCN2,-0.3088971289344551,Protein_CA10,-0.3799530990172446,Protein_FCN2,0.46647103977680526,Protein_IGFBP6,11.5006306921996
85,Protein_ECM1,0.30709688991727546,Protein_ICAM5.1,0.36322699127559943,Protein_GDF15,-0.3079180685548,Protein_UNC5A,-0.3798715066395104,Protein_IGFL4,0.45357388231556506,Protein_NFASC,11.4916960062063
86,Protein_DLD,0.3065021964030148,Protein_FAM234B.1,0.36308483696751104,Protein_SERPIND1,-0.3061671212397199,Protein_STX12,-0.37691860987992065,Protein_C3.4,0.4487662215251649,Protein_NCMAP,11.485885346873498
87,Protein_MIF.1,0.30534541107926394,Protein_PPBP,-0.3619959533763253,Protein_IGFL4,-0.3057746820589098,Protein_LDHA,-0.37535005844735503,Protein_HNRNPDL,0.4468496201761356,Protein_MIA,11.4742081777715
88,Protein_HBA1,0.30484093757567976,Protein_LRP12,0.36197014516472503,Protein_NEFH,-0.30536491898060447,Protein_STX8,-0.37274485012012004,Protein_MBL2,0.4466346852151053,Protein_EGFLAM,11.469099714081299
89,Protein_TBCA,0.30474854119934447,Protein_HNF4A,-0.3610199434554504,Protein_PAM,-0.3023136849566299,Protein_CHL1.1,-0.3723837608991749,Protein_HGFAC,0.4462542877356497,Protein_CADM3,11.45348044325965
90,Protein_FAM159B.1,0.30324447084018513,Protein_ITIH4,-0.3601569445031849,Protein_CRP,-0.3020679668088695,Protein_MDH1,-0.3722035959354004,Protein_SELE,0.4413020842597395,Protein_PCDH10.1,11.438675
91,Protein_PSMA7,0.3016380457796899,Protein_SLITRK4,0.3593513416454144,Protein_IGHA1,-0.30125681174634966,Protein_ARL2,-0.3718064051919896,Protein_CD177,0.43372189589602517,Protein_RGMB,11.4333309802118
92,Protein_RAD23B,0.30134407172634514,Protein_HDHD2,0.3579940189527351,Protein_F13B,-0.3004200599034146,Protein_PREP,-0.3717057030165849,Protein_PLG,0.43318890195220483,Protein_EPHA7.1,11.43022931926345
93,Protein_HSPA1A,0.3011194814413449,Protein_CFP,-0.3559942285485649,Protein_TF,-0.29989631235339864,Protein_ADAM22,-0.3715417952622193,Protein_TREML2,0.43126699267543556,Protein_SOD3.1,11.42967151224905
94,Protein_ARPC1B,0.3008524702454407,Protein_STX1A,0.3554577239283905,Protein_APCS,-0.2996013653062306,Protein_SST,-0.36871677025554384,Protein_ERP29.1,0.43105671790952016,Protein_FSTL1,11.4226095955567
95,Protein_PARVA,0.2997876854431496,Protein_PCSK1,0.3541180918163995,Protein_APOH,-0.29943437748860013,Protein_NRXN3.1,-0.36818037914589574,Protein_IGFBP6.1,0.43022451438765064,Protein_MDH1,11.3731604207654
96,Protein_NAPA,0.2993810028960495,Protein_APOM.1,-0.3529639963369693,Protein_IL1R2,-0.2968567244600946,Protein_STX3,-0.3677678305934591,Protein_CHGA.1,-0.4288877833645546,Protein_EFNA5,11.3591885460388
97,Protein_FGF19,0.29868799899406495,Protein_CRP,-0.3516759621050092,Protein_CLGN,-0.29671953785895955,Protein_STAMBPL1,-0.3670883005306349,Protein_SMC3,0.4236869201670497,Protein_CTSH,11.3584129480553
98,Protein_RPL30,0.2984083334626848,Protein_LAYN,0.3501328198802103,Protein_DDX6,-0.29666652626393475,Protein_EFNA2.1,-0.3645506725847749,Protein_IGHA1,0.4226626384395651,Protein_PTPRS,11.35834550478995
99,Protein_SYT5,0.2974102675636545,Protein_APOM,-0.3486899797978058,Protein_SERPING1,-0.29518363127679503,Protein_CNTFR,-0.36449518124574976,Protein_CGA.2,-0.4219548010913252,Protein_TMEM132A,11.35822525366805
100,Protein_ASPN,0.2969024920001351,Protein_IGHG1,-0.3441731737610514,Protein_PDLIM4,-0.2940652733742999,Protein_HHIP,-0.36398485926805035,Protein_SLAMF7,0.42150839189331,Protein_WFDC1,11.3281188729162
101,Protein_ART3,0.296887272990614,Protein_APCS,-0.3439158754838898,Protein_CCL15,-0.29343833365625027,Protein_PCSK1,-0.36393356989109993,Protein_RECQL,0.4191770354322899,Protein_SEMA6A,11.30942470563545
102,Protein_B3GNT2,0.2968033466723705,Protein_EPHA5.1,0.3427142279476598,Protein_RPL30,-0.2915218874136656,Protein_GGA1,-0.3638495097306249,Protein_CRP,0.41690495415201045,Protein_SPARC.1,11.262305907128301
103,Protein_FUT5,0.29676062296074024,Protein_C5,-0.3424859785750103,Protein_F10,-0.29093184222930013,Protein_PCSK9.1,-0.3636137523989542,Protein_VTN.1,0.41615580001860497,Protein_ROBO1,11.23577532013205
104,Protein_NLGN1,0.2966066636499498,Protein_YWHAQ.1,0.34168878782600487,Protein_PXDN,-0.2907596309732199,Protein_NETO1,-0.36348272245125957,Protein_APOB,0.4150476137390249,Protein_SLITRK5,11.2344027560473
